Símbolo,Nome da Empresa,Último Preço,Alterar,Variação,Volume
EMBR3.SA,Embraer S.A.,"31,42","-0,34","-1,07%",0
CTIP3.SA,CTIP3.SA,,,,
ENBR3.SA,ENBR3.SA,,,,
CESP6.SA,CESP6.SA,,,,
CPLE6.SA,Companhia Paranaense de Energia - COPEL,"9,22","0,00","0,00%",0
BRPR3.SA,BR Properties S.A.,"131,17","0,00","0,00%",0
CPFE3.SA,CPFL Energia S.A.,"35,15","0,03","+0,09%",0
BBSE3.SA,BB Seguridade Participações S.A.,"33,01","0,04","+0,12%",0
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.,"7,65","0,01","+0,13%",0
CIEL3.SA,Cielo S.A.,"5,46","-0,01","-0,18%",0
CSNA3.SA,Companhia Siderúrgica Nacional,"14,39","0,04","+0,28%",0
ABEV3.SA,Ambev S.A.,"12,07","-0,05","-0,41%",0
EQTL3.SA,Equatorial Energia S.A.,"31,49","-0,15","-0,47%",0
BBAS3.SA,Banco do Brasil S.A.,"56,46","-0,53","-0,93%",0
CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,"12,97","0,12","+0,93%",0
BBDC3.SA,Banco Bradesco S.A.,"12,43","-0,12","-0,96%",0
BRAP4.SA,Bradespar S.A.,"20,88","0,25","+1,21%",0
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,"38,49","-0,53","-1,36%",0
BBDC4.SA,Banco Bradesco S.A.,"14,00","-0,21","-1,48%",0
BRKM5.SA,Braskem S.A.,"23,30","-0,47","-1,98%",0
CCRO3.SA,CCR S.A.,"13,00","-0,31","-2,33%",0
CSAN3.SA,Cosan S.A.,"14,40","-0,48","-3,23%",0
GGBR4.SA,Gerdau S.A.,"23,09","0,78","+3,50%",0
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,"21,35","-1,37","-6,03%",0
BRFS3.SA,BRF S.A.,"17,90","1,65","+10,15%",0
ESTC3.SA,ESTC3.SA,,,,
BVMF3.SA,BVMF3.SA,,,,
656690,656690,,,,
BRML3.SA,BRML3.SA,,,,
FIBR3.SA,Fibria Celulose S.A.,,,,
